	S3_RG	S3_SG	logFC	logCPM	PValue	FDR
TRINITY_DN9601_c2_g1	17.297	16.317999999999998	0.131869897275884	5.4549580835156295	0.8482872384509692	1.0
TRINITY_DN7572_c0_g1	10.284	10.024	0.135707715776738	3.31624557257028	0.8483050911946329	1.0
TRINITY_DN6939_c3_g1	5.615	6.402	-0.129748320401776	5.4065148044705795	0.8483085799216309	1.0
TRINITY_DN7820_c2_g2	4.072	4.779	-0.207848161082413	2.03147154919523	0.848324213942779	1.0
TRINITY_DN6598_c0_g3	9.892999999999999	8.634	0.175838555077735	2.0308534007489	0.848324213942779	1.0
TRINITY_DN6039_c2_g2	4.042	4.223	-0.128860730475829	5.30293452879512	0.8483558574710491	1.0
TRINITY_DN8613_c2_g2	9.296	10.633	-0.172462372430477	3.08677760342636	0.8483604737367021	1.0
TRINITY_DN7678_c4_g3	37.474000000000004	41.501999999999995	-0.12752245981360003	5.9798437514358795	0.848400593484544	1.0
TRINITY_DN8002_c1_g1	2.7560000000000002	3.219	-0.179147057216295	2.8128494232043906	0.84841251201981	1.0
TRINITY_DN6477_c2_g2	1.4809999999999999	1.7209999999999999	-0.179147057216295	2.8128494232043906	0.84841251201981	1.0
TRINITY_DN7862_c4_g1	4.196000000000001	4.5280000000000005	-0.189528873994521	2.47442576998065	0.8484349661150609	1.0
TRINITY_DN8224_c3_g1	3.63	3.344	0.15748217878027898	2.47379302036847	0.8484349661150609	1.0
TRINITY_DN8803_c4_g3	30.142	26.261	0.15748217878027898	2.47379302036847	0.8484349661150609	1.0
TRINITY_DN3556_c0_g1	2.262	2.286	0.15748217878027898	2.47379302036847	0.8484349661150609	1.0
TRINITY_DN7603_c0_g1	157.31	146.204	0.12692757563897802	6.9987377099313095	0.8484585837205351	1.0
TRINITY_DN6872_c2_g1	29.185	26.288	0.129415584241916	5.83975751970922	0.8484763288048359	1.0
TRINITY_DN8447_c5_g3	949.508	888.693	0.12510558572636998	9.93814963622848	0.8484831316018321	1.0
TRINITY_DN6163_c3_g2	15.755	13.395	0.130481002428785	4.86685589147514	0.848592662677975	1.0
TRINITY_DN7175_c7_g1	10554.053999999998	11763.381000000001	-0.124762421365269	13.6418599335522	0.848595944160642	1.0
TRINITY_DN8990_c2_g1	27.601999999999997	26.099	0.13033868200277002	5.982074085024769	0.8487016424959729	1.0
TRINITY_DN8191_c5_g1	22.171999999999997	25.203000000000003	-0.129404662669155	5.4108529075292005	0.8487551014620881	1.0
TRINITY_DN8230_c5_g2	13.112	14.874	-0.12949445421177	5.876970733820209	0.848779344565698	1.0
TRINITY_DN8560_c1_g3	10.325	11.709000000000001	-0.135938154728806	4.54322681021002	0.8488161055197909	1.0
TRINITY_DN6307_c3_g1	10.777000000000001	11.171	-0.135553018623123	4.449323263017849	0.8488895264905721	1.0
TRINITY_DN6006_c1_g5	13.460999999999999	15.269	-0.13024288392036001	5.556999587817121	0.849056471155403	1.0
TRINITY_DN8328_c1_g2	19.179000000000002	17.805999999999997	0.142068434182797	4.24024622493102	0.849068016414854	1.0
TRINITY_DN6009_c0_g1	4.494	6.15	-0.13460090396886398	4.240915897200029	0.849068016414854	1.0
TRINITY_DN9510_c9_g1	4.155	3.9810000000000003	0.14485575862459804	4.123547124638759	0.849177966427704	1.0
TRINITY_DN8371_c2_g2	25.555	24.145	0.129285608952831	6.020895745201809	0.8492632389098801	1.0
TRINITY_DN9276_c3_g2	35.366	39.861999999999995	-0.130933121592792	5.6896937900053	0.8493050559319921	1.0
TRINITY_DN8189_c3_g1	17.863	20.307000000000002	-0.130285946770775	5.6051267155340705	0.8494035199985391	1.0
TRINITY_DN7823_c3_g1	34.696999999999996	39.225	-0.126215130608959	6.93611475712036	0.84941419389529	1.0
TRINITY_DN5118_c0_g1	4.473	4.169	0.15215480197356698	3.8573312336827703	0.849458113873927	1.0
TRINITY_DN6133_c1_g4	54.113	60.868	-0.126950605430282	6.73711338122849	0.849534209009216	1.0
TRINITY_DN7474_c0_g1	43.86	49.49100000000001	-0.12825293431246199	6.18122749537773	0.849623569383146	1.0
TRINITY_DN7568_c2_g1	7.1370000000000005	6.572	0.15706304019095702	3.70320344646308	0.849640334522857	1.0
TRINITY_DN8321_c2_g2	9.368	10.597999999999999	-0.131384586345121	3.7038621454251097	0.849640334522857	1.0
TRINITY_DN5140_c0_g1	5.296	5.989	-0.131384586345121	3.7038621454251097	0.849640334522857	1.0
TRINITY_DN9522_c5_g1	579.879	540.975	0.12415080077952802	9.21566811392137	0.8498365598531898	1.0
TRINITY_DN7087_c0_g1	12.988	14.964	-0.136027984770124	4.880105154672839	0.8498757899260471	1.0
TRINITY_DN7134_c2_g1	143.191	99.609	0.12504173515144698	7.56752662591457	0.84990484797178	1.0
TRINITY_DN5677_c2_g1	34.852	32.59	0.13015478285847398	5.4716652035728	0.8499998854400981	1.0
TRINITY_DN7936_c0_g2	6.047000000000001	6.859	-0.133794371093748	4.25062938872706	0.8500511105671759	1.0
TRINITY_DN6840_c0_g1	25.308000000000003	23.894000000000002	0.12735629943826	5.65468244631984	0.850102640000361	1.0
TRINITY_DN9009_c2_g1	9.235	5.72	0.133736186346846	3.33462751678743	0.8501412866041941	1.0
TRINITY_DN7524_c0_g5	16.886	15.825	0.131263598060422	5.088791010209481	0.8501460334164491	1.0
TRINITY_DN5847_c0_g1	11.004000000000001	10.238999999999999	0.14366676113083698	4.134080277611919	0.8502409692571479	1.0
TRINITY_DN7411_c2_g2	4.689	5.3260000000000005	-0.133132365977837	4.13474357304857	0.8502409692571479	1.0
TRINITY_DN9195_c3_g2	32.548	35.594	-0.133132365977837	4.13474357304857	0.8502409692571479	1.0
TRINITY_DN9457_c5_g1	36.23	40.373000000000005	-0.127409202439126	5.3214868636188495	0.850254772679734	1.0
TRINITY_DN7317_c1_g1	18.49	18.864	0.125675073037891	6.21691386003827	0.85034703519334	1.0
TRINITY_DN7162_c1_g1	107.825	97.117	0.12429315285386199	8.009504931675691	0.850360727095492	1.0
TRINITY_DN7908_c3_g1	16.125	18.738	-0.12826867651996302	5.892564503942599	0.8503757155612791	1.0
TRINITY_DN7235_c0_g1	20.331	19.079	0.134286673573274	5.2106984564204595	0.8504578158295191	1.0
TRINITY_DN7869_c1_g1	112.206	104.693	0.124998060231646	7.15685460752393	0.850504693771971	1.0
TRINITY_DN9074_c7_g1	10.027000000000001	9.306000000000001	0.150657772058037	3.8699894987790096	0.8507275845769091	1.0
TRINITY_DN8016_c2_g1	28.897	28.932	0.12685996074592099	6.2787234401403405	0.850730551788825	1.0
TRINITY_DN7845_c1_g1	15.456	12.597000000000001	-0.133618534489027	4.366854112103851	0.850790589619253	1.0
TRINITY_DN7402_c3_g1	8.772	9.889	-0.133618534489027	4.366854112103851	0.850790589619253	1.0
TRINITY_DN9782_c1_g1	2032.704	1897.9389999999999	-0.126471067446343	6.3590297224324	0.8507947941007109	1.0
TRINITY_DN7992_c4_g3	9.852	11.207	-0.13558646296071	5.028663564754799	0.850829602814893	1.0
TRINITY_DN7527_c4_g1	11.364	12.875	-0.126224561282128	6.0703929302030994	0.850919525674514	1.0
TRINITY_DN5845_c1_g3	1.861	2.188	-0.17612787631166604	2.8388405752297903	0.8509716077876041	1.0
TRINITY_DN7937_c2_g1	2.6430000000000002	2.537	0.14405876797423198	2.8382061613301404	0.8509716077876041	1.0
TRINITY_DN9578_c6_g1	6.2010000000000005	5.747000000000001	0.155346901377214	3.7172819108332904	0.851046452080278	1.0
TRINITY_DN8652_c2_g2	48.128	54.063	-0.125624094841262	6.53629508766652	0.851055046932106	1.0
TRINITY_DN6151_c1_g1	2097.964	2341.824	-0.122733746829491	11.5397679730861	0.8511095266775469	1.0
TRINITY_DN9055_c3_g1	8.309	7.8629999999999995	0.133350764617971	4.56608047863689	0.8511976940147421	1.0
TRINITY_DN5947_c4_g2	52.797	49.401	0.12888952252092697	5.937684278476009	0.8512303759047399	1.0
