	gall_1	non_1	sampleA	sampleB	logFC	logCPM	PValue	FDR
TRINITY_DN25465_c0_g1	1	15	gall	non	-3.15610423980993	1.28948782666147	0.0536328609888605	0.130186290411476
TRINITY_DN20932_c0_g1	10	13	gall	non	0.24910122244960997	1.78669927377779	0.8846960936993821	0.9503608679513259
TRINITY_DN44432_c0_g1	4	9	gall	non	-0.528822055670524	1.0979437354155799	0.8224919798165441	0.8930434516724141
TRINITY_DN15220_c0_g1	5	0	gall	non	5.69925668917449	0.231680595211743	0.0565217391304347	0.130186290411476
TRINITY_DN59397_c0_g1	12	0	gall	non	6.9460021280060005	1.1054979533026899	0.0019960449882585603	0.0160394850876062
TRINITY_DN33368_c0_g1	2	12	gall	non	-1.9037262170618898	1.15482259400244	0.189983809938349	0.27807564005752505
TRINITY_DN29795_c0_g1	0	4	gall	non	-4.77277210611732	0.00227315769200764	0.28571428571428603	0.37124993432459397
TRINITY_DN48759_c0_g1	0	4	gall	non	-4.77277210611732	0.00227315769200764	0.28571428571428603	0.37124993432459397
TRINITY_DN26174_c0_g6	34	0	gall	non	8.44091135673894	2.43874483012648	2.45053893477523e-06	6.932365347780079e-05
TRINITY_DN26012_c0_g9	4	0	gall	non	5.38425367096293	0.0545172740010281	0.0942028985507246	0.154727494458257
TRINITY_DN17324_c0_g2	6	0	gall	non	5.95765584075989	0.390652521575921	0.0347826086956522	0.105432088531521
TRINITY_DN27567_c0_g1	4	0	gall	non	5.38425367096293	0.0545172740010281	0.0942028985507246	0.154727494458257
TRINITY_DN43189_c0_g1	6	0	gall	non	5.95765584075989	0.390652521575921	0.0347826086956522	0.105432088531521
TRINITY_DN24645_c0_g1	16	79	gall	non	-1.66744804274043	3.5524208584562005	0.0310612990614534	0.105432088531521
TRINITY_DN63410_c0_g1	7	0	gall	non	6.176728224462219	0.534866957156636	0.0219001610305958	0.0845506824052762
TRINITY_DN36612_c0_g1	5	0	gall	non	5.69925668917449	0.231680595211743	0.0565217391304347	0.130186290411476
TRINITY_DN21635_c0_g1	28	76	gall	non	-0.8081227343518651	3.72143289728741	0.288451472751418	0.37463816187716903
TRINITY_DN60422_c0_g1	1	4	gall	non	-1.28844377366544	0.180293552317445	0.658385093167702	0.749138336283894
TRINITY_DN35532_c0_g1	4	0	gall	non	5.38425367096293	0.0545172740010281	0.0942028985507246	0.154727494458257
TRINITY_DN16893_c0_g1	5	0	gall	non	5.69925668917449	0.231680595211743	0.0565217391304347	0.130186290411476
TRINITY_DN25202_c0_g2	0	12	gall	non	-6.322115261867159	0.970183272090088	0.009223959448846979	0.0503163902204473
TRINITY_DN21399_c0_g1	29	38	gall	non	0.23945512991936496	3.1879228719642203	0.7692599928862042	0.849796378849567
TRINITY_DN16522_c0_g2	6	0	gall	non	5.95765584075989	0.390652521575921	0.0347826086956522	0.105432088531521
TRINITY_DN15434_c0_g1	4	0	gall	non	5.38425367096293	0.0545172740010281	0.0942028985507246	0.154727494458257
TRINITY_DN25336_c2_g3	2	15	gall	non	-2.22204352745654	1.36692640248518	0.109379181377053	0.177717415955348
TRINITY_DN21142_c0_g1	9	0	gall	non	6.534859668529349	0.7885674142850091	0.00614930629923133	0.0343637069238416
TRINITY_DN25812_c1_g6	0	39	gall	non	-8.01001741809436	2.33172834552532	1.4459239798150199e-05	0.000307944037415794
TRINITY_DN26234_c0_g2	1	18	gall	non	-3.41672642558309	1.4819411451856102	0.0222080971802885	0.0855940443686829
TRINITY_DN23748_c0_g2	8	30	gall	non	-1.2663055278055801	2.3613680077524997	0.169556502359247	0.25522571982186
TRINITY_DN67415_c0_g1	6	0	gall	non	5.95765584075989	0.390652521575921	0.0347826086956522	0.105432088531521
TRINITY_DN50416_c0_g1	4	0	gall	non	5.38425367096293	0.0545172740010281	0.0942028985507246	0.154727494458257
TRINITY_DN16186_c0_g1	13	0	gall	non	7.060578994728321	1.19834455310189	0.0010064092377774301	0.00900669702606496
TRINITY_DN13429_c0_g1	5	0	gall	non	5.69925668917449	0.231680595211743	0.0565217391304347	0.130186290411476
TRINITY_DN26253_c0_g5	67	0	gall	non	9.417491477496188	3.4011840387765004	9.616426970965759e-09	6.618474640601691e-07
TRINITY_DN15919_c0_g1	9	13	gall	non	0.0986548832367323	1.7265643035490599	1.0	1.0
TRINITY_DN44958_c0_g1	4	0	gall	non	5.38425367096293	0.0545172740010281	0.0942028985507246	0.154727494458257
TRINITY_DN9667_c0_g1	19	0	gall	non	7.6046498266310705	1.66307047302484	0.000125561101170857	0.0017752184677322102
TRINITY_DN30752_c0_g1	4	0	gall	non	5.38425367096293	0.0545172740010281	0.0942028985507246	0.154727494458257
TRINITY_DN25177_c2_g1	16	18	gall	non	0.4570566727302971	2.29217008828616	0.605363239930837	0.7039215556804099
TRINITY_DN34156_c0_g1	2	4	gall	non	-0.354383061312055	0.340112650113992	1.0	1.0
TRINITY_DN60447_c0_g1	0	17	gall	non	-6.81930249310797	1.34654526391581	0.0019960449882585603	0.0160394850876062
TRINITY_DN22967_c0_g1	50	30	gall	non	1.36279182875816	3.50991249680637	0.074627207782068	0.154727494458257
TRINITY_DN24228_c1_g1	7	19	gall	non	-0.8016935798978141	1.9005878360275599	0.49471223386767105	0.5962762935556021
TRINITY_DN59594_c0_g1	4	0	gall	non	5.38425367096293	0.0545172740010281	0.0942028985507246	0.154727494458257
TRINITY_DN33651_c0_g1	6	0	gall	non	5.95765584075989	0.390652521575921	0.0347826086956522	0.105432088531521
TRINITY_DN10549_c0_g1	4	0	gall	non	5.38425367096293	0.0545172740010281	0.0942028985507246	0.154727494458257
TRINITY_DN26250_c1_g3	105	0	gall	non	10.0648840808343	4.05361138000493	1.81431567742922e-10	2.22740523533656e-08
TRINITY_DN23646_c0_g1	41	0	gall	non	8.71029155000718	2.6999230750642504	5.43348143287882e-07	1.97901957756298e-05
TRINITY_DN17058_c0_g1	0	4	gall	non	-4.77277210611732	0.00227315769200764	0.28571428571428603	0.37124993432459397
TRINITY_DN14_c0_g1	7	0	gall	non	6.176728224462219	0.534866957156636	0.0219001610305958	0.0845506824052762
TRINITY_DN25139_c0_g1	20	33	gall	non	-0.0917467605616435	2.8502428842619105	0.9424850420836279	1.0
TRINITY_DN710_c0_g1	5	0	gall	non	5.69925668917449	0.231680595211743	0.0565217391304347	0.130186290411476
TRINITY_DN58257_c0_g1	8	13	gall	non	-0.0693265347078295	1.6641286040065	1.0	1.0
TRINITY_DN35550_c0_g1	6	0	gall	non	5.95765584075989	0.390652521575921	0.0347826086956522	0.105432088531521
TRINITY_DN67630_c0_g1	8	0	gall	non	6.366878250584789	0.6668620052487549	0.0140786749482402	0.0656007660212769
TRINITY_DN21157_c0_g1	17	28	gall	non	-0.0891101714801436	2.63260047695601	0.9337110206724679	0.997051728660458
TRINITY_DN25878_c1_g4	12	9	gall	non	1.03292640137254	1.7031144829366	0.302644775598464	0.39187180558310797
TRINITY_DN51285_c0_g1	0	4	gall	non	-4.77277210611732	0.00227315769200764	0.28571428571428603	0.37124993432459397
