	sampleA	sampleB	logFC	logCPM	PValue	FDR
TRINITY_DN13914_c3_g1	SMP_1	SMP_2	0.830789717	3.722818677	0.222491885	0.991532454
TRINITY_DN13914_c3_g2	SMP_1	SMP_2	-9.240819105	1.504105054	2.56E-08	4.86E-06
TRINITY_DN13915_c0_g1	SMP_1	SMP_2	-1.459651644	5.888349753	0.02997275	0.368880872
TRINITY_DN13915_c0_g2	SMP_1	SMP_2	-1.0412686	6.839635251	0.116280362	0.790632505
TRINITY_DN13916_c1_g1	SMP_1	SMP_2	0.292903118	1.45548524	0.728198655	1
TRINITY_DN13916_c2_g1	SMP_1	SMP_2	-0.849009216	6.611892167	0.19922706	0.957468932
TRINITY_DN13916_c2_g2	SMP_1	SMP_2	-4.775625806	3.8751614	6.20E-09	1.52E-06
TRINITY_DN13917_c0_g3	SMP_1	SMP_2	-0.674406622	7.830088029	0.305243512	1
TRINITY_DN13917_c0_g4	SMP_1	SMP_2	-0.386230875	6.942105054	0.5571177	1
TRINITY_DN13918_c0_g1	SMP_1	SMP_2	0.900065835	2.597665885	0.209776354	0.976203023
TRINITY_DN13918_c1_g1	SMP_1	SMP_2	-0.081533715	3.554368177	0.909486886	1
TRINITY_DN13918_c2_g1	SMP_1	SMP_2	0.664397474	3.216123876	0.335180289	1
TRINITY_DN13919_c2_g1	SMP_1	SMP_2	0.073521768	3.759214835	0.921121321	1
TRINITY_DN13920_c0_g1	SMP_1	SMP_2	0.097984842	5.568555703	0.886218988	1
TRINITY_DN13920_c0_g2	SMP_1	SMP_2	0.5583145	4.337251726	0.40907014	1
TRINITY_DN13920_c0_g4	SMP_1	SMP_2	-0.677594187	2.157832874	0.358655963	1
TRINITY_DN13921_c0_g2	SMP_1	SMP_2	-1.677757205	2.21807693	0.023011741	0.308911606
TRINITY_DN13921_c0_g3	SMP_1	SMP_2	-0.223075715	3.682592361	0.75412402	1
TRINITY_DN13921_c0_g4	SMP_1	SMP_2	0.309608161	5.807383237	0.641635969	1
TRINITY_DN13922_c1_g1	SMP_1	SMP_2	0.277553003	6.372226386	0.67422061	1
TRINITY_DN13923_c0_g1	SMP_1	SMP_2	0.153227604	5.623400647	0.820146526	1
TRINITY_DN13924_c0_g1	SMP_1	SMP_2	-0.046799607	6.439506667	0.944660869	1
TRINITY_DN13925_c2_g1	SMP_1	SMP_2	1.158344706	3.029736671	0.103008362	0.747588993
TRINITY_DN13925_c2_g2	SMP_1	SMP_2	0.00877057	6.02444139	0.991674091	1
TRINITY_DN13925_c3_g1	SMP_1	SMP_2	-0.181260256	5.968598418	0.786094418	1
TRINITY_DN13926_c0_g1	SMP_1	SMP_2	0.463718106	7.089419792	0.480867514	1
TRINITY_DN13926_c0_g2	SMP_1	SMP_2	-1.672317476	2.975284281	0.018909543	0.266467076
TRINITY_DN13926_c0_g3	SMP_1	SMP_2	0.047205768	9.046539724	0.942705841	1
TRINITY_DN13926_c0_g4	SMP_1	SMP_2	0.117010123	4.023340645	0.868475323	1
TRINITY_DN13927_c0_g1	SMP_1	SMP_2	-0.025876641	9.587303458	0.968592516	1
TRINITY_DN13928_c1_g1	SMP_1	SMP_2	0.165700518	5.329140389	0.806562144	1
TRINITY_DN13928_c2_g1	SMP_1	SMP_2	-1.279203297	3.336923889	0.067644759	0.607923996
TRINITY_DN13928_c2_g2	SMP_1	SMP_2	-0.744648917	3.956016852	0.272663898	1
TRINITY_DN13929_c0_g1	SMP_1	SMP_2	-0.407161876	5.811619576	0.537720571	1
TRINITY_DN13930_c2_g1	SMP_1	SMP_2	0.163231748	2.368437496	0.848360474	1
TRINITY_DN13930_c2_g2	SMP_1	SMP_2	-0.563311985	7.028147441	0.392126134	1
TRINITY_DN13930_c2_g4	SMP_1	SMP_2	-0.253576938	2.240351939	0.730928093	1
TRINITY_DN13931_c0_g1	SMP_1	SMP_2	0.633400599	3.251880453	0.36601824	1
TRINITY_DN13932_c1_g2	SMP_1	SMP_2	-0.171118109	6.73927795	0.795361929	1
TRINITY_DN13932_c1_g3	SMP_1	SMP_2	-0.365980546	7.724058056	0.577081452	1
TRINITY_DN13932_c1_g8	SMP_1	SMP_2	-2.287287554	-0.203402748	0.038199172	0.433384621
TRINITY_DN13933_c2_g1	SMP_1	SMP_2	-1.115197671	3.969909987	0.101385268	0.739339474
TRINITY_DN13933_c3_g1	SMP_1	SMP_2	-0.31123161	2.819385413	0.672904195	1
TRINITY_DN13933_c3_g2	SMP_1	SMP_2	-0.38067592	6.31896379	0.563829345	1
TRINITY_DN13934_c0_g1	SMP_1	SMP_2	-0.095503042	6.54582853	0.885660322	1
TRINITY_DN13935_c2_g1	SMP_1	SMP_2	-0.193140594	3.976331985	0.781738778	1
TRINITY_DN13935_c3_g1	SMP_1	SMP_2	0.086695573	2.579020959	0.912448818	1
TRINITY_DN13935_c4_g1	SMP_1	SMP_2	0.890928384	1.916934537	0.25472675	1
TRINITY_DN13935_c4_g6	SMP_1	SMP_2	-1.894604977	0.390963097	0.033540426	0.399411278
TRINITY_DN13936_c0_g1	SMP_1	SMP_2	0.546912575	2.835585044	0.438889543	1
TRINITY_DN13937_c1_g1	SMP_1	SMP_2	0.231824127	2.40536893	0.756586508	1
TRINITY_DN13937_c1_g3	SMP_1	SMP_2	2.89075684	2.533834637	0.000225049	0.008971058
TRINITY_DN13937_c1_g4	SMP_1	SMP_2	-0.798207561	6.01696945	0.228766926	0.997103287
TRINITY_DN13937_c1_g5	SMP_1	SMP_2	-0.936369353	5.240517026	0.160245231	0.886482426
TRINITY_DN13938_c1_g1	SMP_1	SMP_2	0.027959926	4.371663894	0.97404095	1
TRINITY_DN13938_c1_g2	SMP_1	SMP_2	0.499269643	5.522350923	0.450143385	1
TRINITY_DN13938_c1_g3	SMP_1	SMP_2	-0.743356598	3.582663631	0.277369378	1
TRINITY_DN13938_c1_g4	SMP_1	SMP_2	-0.134849576	4.43962919	0.845771487	1
TRINITY_DN13939_c0_g1	SMP_1	SMP_2	-0.138500928	8.258814201	0.83276949	1
TRINITY_DN13940_c0_g1	SMP_1	SMP_2	0.147009345	5.711498406	0.825491275	1
TRINITY_DN13940_c1_g1	SMP_1	SMP_2	-0.268906331	5.499266478	0.68515052	1
TRINITY_DN13941_c1_g1	SMP_1	SMP_2	0.477445678	2.305853413	0.527934602	1
TRINITY_DN13941_c1_g2	SMP_1	SMP_2	0.240785137	6.939666898	0.714566671	1
TRINITY_DN13942_c0_g1	SMP_1	SMP_2	-1.224402736	6.778628258	0.06593169	0.597321812
TRINITY_DN13942_c0_g2	SMP_1	SMP_2	0.180440075	2.581714941	0.825868173	1
TRINITY_DN13943_c0_g1	SMP_1	SMP_2	-0.623528502	4.91729749	0.350881666	1
TRINITY_DN13943_c0_g2	SMP_1	SMP_2	-0.405343371	5.710992856	0.540442934	1
TRINITY_DN13944_c0_g1	SMP_1	SMP_2	0.025702344	0.450180433	1	1
TRINITY_DN13944_c1_g1	SMP_1	SMP_2	-0.296374795	0.198008522	0.89852752	1
TRINITY_DN13944_c2_g1	SMP_1	SMP_2	0.063256019	2.343113587	0.94845665	1
TRINITY_DN13944_c2_g2	SMP_1	SMP_2	0.38176715	6.462026453	0.562673631	1
TRINITY_DN13944_c2_g5	SMP_1	SMP_2	-1.816226426	4.768428885	0.008238121	0.143281263
TRINITY_DN13945_c0_g1	SMP_1	SMP_2	0.169146595	4.650856417	0.803102026	1
TRINITY_DN13945_c0_g2	SMP_1	SMP_2	-0.900627449	1.158650094	0.263542462	1
TRINITY_DN13945_c0_g3	SMP_1	SMP_2	0.834671126	1.662577463	0.300098137	1
TRINITY_DN13945_c0_g4	SMP_1	SMP_2	-0.2989448	3.547823635	0.667169966	1
TRINITY_DN13945_c0_g6	SMP_1	SMP_2	-0.011354129	1.674180284	1	1
TRINITY_DN13946_c0_g1	SMP_1	SMP_2	0.6443069	2.697022747	0.379900688	1
TRINITY_DN13946_c1_g1	SMP_1	SMP_2	0.698767662	4.813425998	0.296723453	1
TRINITY_DN13946_c1_g2	SMP_1	SMP_2	-0.250370013	3.689087004	0.716290269	1
TRINITY_DN13947_c1_g1	SMP_1	SMP_2	-0.112675067	3.387915909	0.873198966	1
TRINITY_DN13947_c1_g2	SMP_1	SMP_2	0.455958154	4.439059166	0.500366967	1
TRINITY_DN13947_c1_g3	SMP_1	SMP_2	0.80929844	1.760012577	0.286291533	1
TRINITY_DN13947_c1_g4	SMP_1	SMP_2	0.250101163	2.75550581	0.731871829	1
TRINITY_DN13948_c0_g1	SMP_1	SMP_2	1.214428089	6.739257704	0.068285413	0.609952386
TRINITY_DN13949_c0_g1	SMP_1	SMP_2	0.223076715	4.707685412	0.740815605	1
TRINITY_DN13950_c1_g1	SMP_1	SMP_2	-0.23885074	5.811821244	0.718772808	1
TRINITY_DN13950_c1_g2	SMP_1	SMP_2	0.062852189	0.366427542	1	1
TRINITY_DN13950_c1_g4	SMP_1	SMP_2	0.608851171	2.918021737	0.398854226	1
TRINITY_DN13951_c0_g1	SMP_1	SMP_2	0.26195366	3.327566999	0.713207462	1
TRINITY_DN13951_c0_g2	SMP_1	SMP_2	0.382524791	2.375120167	0.589438195	1
TRINITY_DN13952_c0_g1	SMP_1	SMP_2	-0.565779705	3.358202151	0.414277602	1
TRINITY_DN13953_c0_g1	SMP_1	SMP_2	-0.018921053	0.326273096	1	1
TRINITY_DN13953_c1_g1	SMP_1	SMP_2	-0.990706278	2.769367126	0.159949916	0.886482426
TRINITY_DN13953_c2_g1	SMP_1	SMP_2	0.10163466	6.15959057	0.877168579	1
TRINITY_DN13953_c2_g4	SMP_1	SMP_2	0.885277197	4.232426832	0.191651551	0.945156812
TRINITY_DN13953_c2_g5	SMP_1	SMP_2	-0.313749099	1.203905967	0.734718923	1
TRINITY_DN13953_c2_g7	SMP_1	SMP_2	-0.085879736	4.735526459	0.904005673	1
TRINITY_DN13954_c0_g1	SMP_1	SMP_2	0.392005007	3.370719475	0.580553551	1
TRINITY_DN13955_c0_g1	SMP_1	SMP_2	-0.03377032	4.005040769	0.974945332	1
TRINITY_DN13955_c0_g2	SMP_1	SMP_2	0.009977089	4.302760056	0.993195884	1
TRINITY_DN13955_c0_g3	SMP_1	SMP_2	-0.006996453	2.22418102	1	1
TRINITY_DN13956_c0_g1	SMP_1	SMP_2	-0.670663138	1.246231088	0.388873201	1
TRINITY_DN13956_c1_g1	SMP_1	SMP_2	0.77738368	1.89484756	0.310596565	1
TRINITY_DN13956_c2_g1	SMP_1	SMP_2	-1.223640239	2.750517666	0.081311331	0.671239447
TRINITY_DN13956_c3_g1	SMP_1	SMP_2	-1.126961652	8.067029822	0.088933924	0.701185707
TRINITY_DN13956_c3_g2	SMP_1	SMP_2	0.18375268	1.02754437	0.879289665	1
TRINITY_DN13956_c3_g3	SMP_1	SMP_2	-0.256626622	0.500539629	0.832809174	1
TRINITY_DN13956_c3_g4	SMP_1	SMP_2	0.044870905	3.639639177	0.957155736	1
TRINITY_DN13957_c1_g1	SMP_1	SMP_2	0.373116569	4.309051024	0.584498686	1
TRINITY_DN13957_c1_g2	SMP_1	SMP_2	0.239569581	5.984221862	0.716711526	1
TRINITY_DN13958_c0_g1	SMP_1	SMP_2	0.17783318	4.537976521	0.793162314	1
TRINITY_DN13958_c0_g2	SMP_1	SMP_2	-0.231361999	1.686918689	0.804884286	1
TRINITY_DN13959_c0_g1	SMP_1	SMP_2	-0.359458376	4.833323137	0.592257608	1
TRINITY_DN13959_c0_g3	SMP_1	SMP_2	0.311585796	3.046444157	0.672310915	1
TRINITY_DN13959_c0_g4	SMP_1	SMP_2	0.429879561	1.826102593	0.581377516	1
TRINITY_DN13959_c0_g5	SMP_1	SMP_2	0.781809863	3.851149603	0.255201388	1
TRINITY_DN13960_c0_g1	SMP_1	SMP_2	-0.197475134	8.91187122	0.762982177	1
TRINITY_DN13960_c0_g3	SMP_1	SMP_2	-0.117494054	2.565471834	0.889993336	1
TRINITY_DN13961_c0_g1	SMP_1	SMP_2	-0.351266715	3.121364765	0.620716181	1
TRINITY_DN13961_c0_g2	SMP_1	SMP_2	-0.338699851	4.303604189	0.613705307	1
TRINITY_DN13961_c0_g3	SMP_1	SMP_2	-1.488363139	2.570610884	0.040846588	0.455525771
TRINITY_DN13961_c0_g4	SMP_1	SMP_2	-1.038310348	5.578231747	0.120293668	0.800788785
TRINITY_DN13961_c0_g5	SMP_1	SMP_2	-1.716257731	5.039130294	0.011772309	0.187965334
TRINITY_DN13961_c0_g6	SMP_1	SMP_2	-1.237797974	5.619601404	0.064982636	0.590315419
TRINITY_DN13961_c0_g8	SMP_1	SMP_2	-3.182234998	2.381407483	6.65E-05	0.003365545
TRINITY_DN13961_c0_g9	SMP_1	SMP_2	-2.049597904	1.74951829	0.007840815	0.137735644
TRINITY_DN13962_c2_g1	SMP_1	SMP_2	-3.005361589	2.470170898	0.000104269	0.004725041
TRINITY_DN13962_c3_g1	SMP_1	SMP_2	-0.767551589	3.818241154	0.257701374	1
TRINITY_DN13962_c3_g2	SMP_1	SMP_2	0.749732427	3.951562233	0.273991946	1
TRINITY_DN13962_c4_g2	SMP_1	SMP_2	0.052770118	3.707506463	0.948791621	1
TRINITY_DN13963_c0_g1	SMP_1	SMP_2	-0.163286829	2.667754296	0.835947721	1
TRINITY_DN13964_c2_g1	SMP_1	SMP_2	0.907923015	3.477282258	0.191620238	0.945156812
TRINITY_DN13964_c2_g3	SMP_1	SMP_2	-0.484617734	8.470198652	0.460022264	1
TRINITY_DN13964_c2_g4	SMP_1	SMP_2	-0.283396678	1.318372963	0.749698788	1
TRINITY_DN13964_c3_g1	SMP_1	SMP_2	-0.772074648	2.891923094	0.27117876	1
TRINITY_DN13965_c1_g1	SMP_1	SMP_2	2.434723723	5.396852874	0.000484728	0.016079441
TRINITY_DN13965_c2_g3	SMP_1	SMP_2	0.146806654	3.89522869	0.838748664	1
TRINITY_DN13965_c2_g4	SMP_1	SMP_2	-0.047515387	1.775862765	1	1
TRINITY_DN13966_c0_g1	SMP_1	SMP_2	-0.642307151	2.928159446	0.369215094	1
TRINITY_DN13966_c0_g2	SMP_1	SMP_2	-0.42044513	4.747231236	0.531274847	1
TRINITY_DN13966_c0_g3	SMP_1	SMP_2	-0.411316865	2.650057895	0.562991032	1
TRINITY_DN13966_c0_g4	SMP_1	SMP_2	-0.422374372	5.142420297	0.528188095	1
TRINITY_DN13967_c0_g1	SMP_1	SMP_2	-0.751035603	2.028778423	0.316046914	1
TRINITY_DN13967_c0_g2	SMP_1	SMP_2	-0.105609255	0.284873472	1	1
TRINITY_DN13967_c0_g3	SMP_1	SMP_2	-0.677091201	5.535781491	0.30684142	1
TRINITY_DN13968_c0_g1	SMP_1	SMP_2	0.176260993	3.751162573	0.803270506	1
TRINITY_DN13969_c0_g1	SMP_1	SMP_2	-0.665989704	8.306773066	0.310942919	1
TRINITY_DN13970_c1_g1	SMP_1	SMP_2	0.10158024	1.88981368	0.896145091	1
TRINITY_DN13970_c1_g2	SMP_1	SMP_2	0.393988762	1.07019929	0.70858818	1
TRINITY_DN13970_c1_g3	SMP_1	SMP_2	-0.394014576	5.775021649	0.55233152	1
TRINITY_DN13970_c2_g2	SMP_1	SMP_2	0.030034984	6.065682845	0.965619499	1
TRINITY_DN13971_c0_g1	SMP_1	SMP_2	0.446551013	4.799022838	0.50479713	1
TRINITY_DN13971_c0_g2	SMP_1	SMP_2	0.336806316	4.92733356	0.61501667	1
TRINITY_DN13971_c0_g3	SMP_1	SMP_2	1.385831386	0.783516906	0.113190717	0.786217508
TRINITY_DN13972_c0_g1	SMP_1	SMP_2	0.091688036	6.441244063	0.890491887	1
TRINITY_DN13972_c0_g2	SMP_1	SMP_2	-0.080405336	0.493732453	1	1
TRINITY_DN13973_c0_g1	SMP_1	SMP_2	-1.040443067	4.77310814	0.122253137	0.802590424
TRINITY_DN13973_c0_g2	SMP_1	SMP_2	-1.039171823	3.93772446	0.126414696	0.813008588
TRINITY_DN13973_c0_g4	SMP_1	SMP_2	-0.445906974	2.616265835	0.537882017	1
TRINITY_DN13974_c0_g1	SMP_1	SMP_2	0.249410589	5.225896443	0.709796845	1
TRINITY_DN13975_c0_g1	SMP_1	SMP_2	0.5683142	0.928803923	0.511408434	1
TRINITY_DN13975_c1_g1	SMP_1	SMP_2	-0.503773846	2.751896868	0.478104572	1
TRINITY_DN13975_c2_g1	SMP_1	SMP_2	-0.362446173	4.928637358	0.589011563	1
TRINITY_DN13976_c0_g2	SMP_1	SMP_2	0.459713663	5.689409717	0.48887737	1
TRINITY_DN13976_c0_g3	SMP_1	SMP_2	0.149565763	6.001276362	0.82159936	1
TRINITY_DN13977_c0_g1	SMP_1	SMP_2	-0.215326859	0.682470535	0.847540441	1
TRINITY_DN13977_c1_g1	SMP_1	SMP_2	-0.853630954	0.874054596	0.321052928	1
TRINITY_DN13977_c2_g1	SMP_1	SMP_2	-1.396027356	1.586610482	0.075563421	0.645072994
TRINITY_DN13977_c3_g1	SMP_1	SMP_2	-0.236614885	3.253413055	0.740576816	1
TRINITY_DN13978_c0_g1	SMP_1	SMP_2	0.103035391	5.66142835	0.87736204	1
TRINITY_DN13978_c0_g2	SMP_1	SMP_2	2.196213498	0.849697019	0.020165681	0.278077883
TRINITY_DN13979_c1_g1	SMP_1	SMP_2	0.376997269	4.058570968	0.583685679	1
TRINITY_DN13979_c1_g2	SMP_1	SMP_2	-0.754741445	0.112794381	0.494712234	1
TRINITY_DN13979_c2_g1	SMP_1	SMP_2	0.788012197	6.045499512	0.235167621	1
TRINITY_DN13980_c1_g1	SMP_1	SMP_2	-0.440241393	4.649212812	0.511329843	1
TRINITY_DN13980_c1_g2	SMP_1	SMP_2	1.521315177	0.363577519	0.104627052	0.751136643
TRINITY_DN13981_c0_g1	SMP_1	SMP_2	-0.058047658	8.771717113	0.929565218	1
TRINITY_DN13982_c0_g1	SMP_1	SMP_2	-0.09583382	5.295068711	0.886783287	1
TRINITY_DN13982_c1_g1	SMP_1	SMP_2	2.024063038	3.275280154	0.004722065	0.092703045
TRINITY_DN13982_c1_g2	SMP_1	SMP_2	-0.668617864	2.650199687	0.357144795	1
TRINITY_DN13982_c1_g3	SMP_1	SMP_2	0.982577291	0.205341926	0.366587697	1
TRINITY_DN13982_c1_g4	SMP_1	SMP_2	-0.669210672	0.701658323	0.458420067	1
TRINITY_DN13982_c1_g5	SMP_1	SMP_2	-1.105050787	2.961159662	0.115942542	0.789019864
TRINITY_DN13983_c0_g1	SMP_1	SMP_2	-0.143583402	4.054439746	0.83968974	1
TRINITY_DN13983_c0_g2	SMP_1	SMP_2	-0.554733206	3.351811631	0.422101998	1
TRINITY_DN13984_c0_g1	SMP_1	SMP_2	-0.500527464	4.447082753	0.460030529	1
TRINITY_DN13984_c1_g1	SMP_1	SMP_2	0.303856866	3.68804392	0.656843015	1
TRINITY_DN13985_c2_g1	SMP_1	SMP_2	-1.600904807	0.029065479	0.122481004	0.802590424
TRINITY_DN13985_c3_g1	SMP_1	SMP_2	0.491652553	2.552069309	0.496171173	1
TRINITY_DN13985_c3_g2	SMP_1	SMP_2	0.169871669	1.998696306	0.840180558	1
TRINITY_DN13985_c4_g1	SMP_1	SMP_2	-0.483828088	4.76302764	0.471391651	1
TRINITY_DN13985_c4_g2	SMP_1	SMP_2	-1.518768722	6.129515947	0.023959088	0.314099104
TRINITY_DN13986_c3_g1	SMP_1	SMP_2	0.232912726	5.929147381	0.725089545	1
TRINITY_DN13986_c3_g2	SMP_1	SMP_2	0.041110068	3.37609982	0.974359129	1
TRINITY_DN13986_c3_g3	SMP_1	SMP_2	0.833313999	4.676499379	0.213936716	0.981713013
TRINITY_DN13986_c3_g4	SMP_1	SMP_2	0.099650656	1.961620048	0.933923856	1
TRINITY_DN13987_c0_g1	SMP_1	SMP_2	0.477656977	2.649566937	0.507914183	1
TRINITY_DN13987_c0_g2	SMP_1	SMP_2	-0.05848744	5.512673237	0.934861424	1
TRINITY_DN13987_c0_g6	SMP_1	SMP_2	0.062748036	0.137187222	1	1
TRINITY_DN13988_c0_g2	SMP_1	SMP_2	0.127281223	5.008552293	0.853920844	1
TRINITY_DN13989_c0_g1	SMP_1	SMP_2	-0.303723858	3.449467583	0.66779987	1
TRINITY_DN13990_c0_g1	SMP_1	SMP_2	-0.119333841	2.926548034	0.879368029	1
TRINITY_DN13990_c1_g1	SMP_1	SMP_2	-0.285473692	6.85965988	0.664478236	1
TRINITY_DN13990_c1_g2	SMP_1	SMP_2	-0.693407813	3.422303254	0.314731263	1
TRINITY_DN13990_c1_g7	SMP_1	SMP_2	0.163386898	3.345633568	0.81795947	1
TRINITY_DN13991_c0_g1	SMP_1	SMP_2	-0.793668933	1.959576566	0.297820326	1
TRINITY_DN13991_c0_g2	SMP_1	SMP_2	-0.079836948	4.188616281	0.911865145	1
TRINITY_DN13991_c0_g3	SMP_1	SMP_2	-0.669210672	0.701658323	0.458420067	1
TRINITY_DN13992_c0_g1	SMP_1	SMP_2	0.570106411	7.516748832	0.385957715	1
TRINITY_DN13992_c0_g2	SMP_1	SMP_2	1.996947976	4.082148202	0.004519579	0.089852903
TRINITY_DN13992_c0_g3	SMP_1	SMP_2	0.04836998	8.154779474	0.941552221	1
TRINITY_DN13993_c1_g1	SMP_1	SMP_2	-0.394397777	4.997891484	0.554853567	1
TRINITY_DN13993_c1_g2	SMP_1	SMP_2	-0.740721454	10.58391531	0.259590887	1
TRINITY_DN13993_c1_g3	SMP_1	SMP_2	1.36831163	1.031723781	0.103177555	0.747691381
TRINITY_DN13994_c0_g1	SMP_1	SMP_2	0.307403479	5.218188797	0.64468644	1
TRINITY_DN13995_c0_g1	SMP_1	SMP_2	0.278296756	4.346014305	0.683469799	1
TRINITY_DN13995_c0_g2	SMP_1	SMP_2	0.119474556	4.613351025	0.862957951	1
TRINITY_DN13995_c0_g3	SMP_1	SMP_2	-0.939435415	5.034857509	0.159734884	0.886411037
TRINITY_DN13996_c0_g1	SMP_1	SMP_2	-0.036885251	4.674474609	0.963080667	1
TRINITY_DN13997_c0_g1	SMP_1	SMP_2	0.474195645	4.335842678	0.484697662	1
TRINITY_DN13997_c1_g1	SMP_1	SMP_2	-0.856636659	7.229066064	0.194461546	0.950332532
TRINITY_DN13997_c1_g2	SMP_1	SMP_2	-0.051472053	5.160591779	0.939617954	1
TRINITY_DN13998_c0_g1	SMP_1	SMP_2	0.160777201	6.035472799	0.807473799	1
TRINITY_DN13999_c0_g1	SMP_1	SMP_2	0.107155149	5.814015286	0.872922827	1
TRINITY_DN14000_c0_g1	SMP_1	SMP_2	0.50215138	4.336312618	0.459285861	1
TRINITY_DN14000_c0_g2	SMP_1	SMP_2	0.290964668	2.960685236	0.685666637	1
TRINITY_DN14000_c0_g3	SMP_1	SMP_2	-0.010608737	2.911339269	1	1
TRINITY_DN14000_c0_g4	SMP_1	SMP_2	-0.208554413	3.058274431	0.764897958	1
TRINITY_DN14000_c0_g5	SMP_1	SMP_2	0.411453621	4.512126021	0.542111529	1
TRINITY_DN14001_c0_g1	SMP_1	SMP_2	0.370663561	5.543262123	0.576243064	1
TRINITY_DN14002_c0_g1	SMP_1	SMP_2	-0.109676537	4.34827387	0.875070194	1
TRINITY_DN14002_c0_g3	SMP_1	SMP_2	0.346918886	5.814775608	0.600443217	1
TRINITY_DN14003_c0_g1	SMP_1	SMP_2	0.65652674	3.466031921	0.34081163	1
TRINITY_DN14003_c1_g1	SMP_1	SMP_2	-0.703083886	3.985581566	0.298577765	1
TRINITY_DN14004_c0_g1	SMP_1	SMP_2	0.66998634	5.541895297	0.313503423	1
TRINITY_DN14004_c0_g3	SMP_1	SMP_2	-1.195039817	7.876430154	0.071743457	0.628049935
TRINITY_DN14005_c1_g1	SMP_1	SMP_2	-0.08289606	2.802856072	0.924621652	1
TRINITY_DN14005_c1_g2	SMP_1	SMP_2	-0.391940109	3.398995946	0.579164156	1
TRINITY_DN14005_c1_g3	SMP_1	SMP_2	-0.383733641	3.424714097	0.575152684	1
TRINITY_DN14005_c1_g4	SMP_1	SMP_2	-0.540561501	2.537811774	0.460507134	1
TRINITY_DN14005_c1_g6	SMP_1	SMP_2	-0.33269255	2.859964196	0.649274645	1
TRINITY_DN14006_c0_g1	SMP_1	SMP_2	-0.393925602	5.435547081	0.552552905	1
TRINITY_DN14007_c0_g1	SMP_1	SMP_2	-0.006959991	0.529408707	1	1
TRINITY_DN14007_c1_g1	SMP_1	SMP_2	-0.211290937	5.422295835	0.751441012	1
TRINITY_DN14007_c1_g2	SMP_1	SMP_2	-0.701711605	6.325796714	0.288391889	1
TRINITY_DN14007_c1_g3	SMP_1	SMP_2	-0.199199357	2.101253177	0.820078729	1
TRINITY_DN14007_c1_g5	SMP_1	SMP_2	2.417473686	1.816289837	0.00357069	0.073860213
TRINITY_DN14008_c1_g2	SMP_1	SMP_2	-0.54880879	2.029992887	0.477186158	1
TRINITY_DN14008_c1_g3	SMP_1	SMP_2	-0.445348112	6.059212896	0.500434438	1
TRINITY_DN14008_c2_g1	SMP_1	SMP_2	0.214474882	5.097581626	0.751273848	1
TRINITY_DN14009_c0_g1	SMP_1	SMP_2	-0.841164885	4.689302466	0.209379425	0.975514005
TRINITY_DN14009_c0_g2	SMP_1	SMP_2	0.288731282	3.758464155	0.681476711	1
TRINITY_DN14010_c0_g1	SMP_1	SMP_2	-0.502123678	5.138065712	0.450085638	1
TRINITY_DN14011_c0_g1	SMP_1	SMP_2	0.683442878	4.876791021	0.306442559	1
TRINITY_DN14012_c1_g2	SMP_1	SMP_2	-0.35360908	4.672970405	0.600119559	1
TRINITY_DN14013_c0_g1	SMP_1	SMP_2	0.088056473	7.131438883	0.894077713	1
TRINITY_DN14013_c1_g1	SMP_1	SMP_2	1.087083413	6.706450038	0.101548338	0.739874651
TRINITY_DN14014_c0_g1	SMP_1	SMP_2	0.127173237	3.985255264	0.85667197	1
TRINITY_DN14014_c0_g2	SMP_1	SMP_2	-0.340151474	6.27332315	0.606076237	1
TRINITY_DN14014_c0_g3	SMP_1	SMP_2	-1.602370118	3.471250144	0.022648434	0.305254166
TRINITY_DN14014_c0_g4	SMP_1	SMP_2	-0.693853344	4.699353552	0.301188687	1
TRINITY_DN14014_c0_g6	SMP_1	SMP_2	-0.863615655	4.252829701	0.201075085	0.960843151
TRINITY_DN14015_c0_g1	SMP_1	SMP_2	0.50448333	3.617773741	0.46677363	1
TRINITY_DN14015_c0_g2	SMP_1	SMP_2	0.468425003	4.054745226	0.494637047	1
TRINITY_DN14015_c0_g3	SMP_1	SMP_2	-0.502444462	3.606229491	0.463969695	1
TRINITY_DN14015_c0_g4	SMP_1	SMP_2	-0.00700857	4.699652746	1	1
TRINITY_DN14015_c0_g6	SMP_1	SMP_2	-0.544699245	2.259636698	0.453721209	1
TRINITY_DN14016_c0_g11	SMP_1	SMP_2	0.655387998	0.980171734	0.467813872	1
TRINITY_DN14016_c0_g12	SMP_1	SMP_2	0.22488643	1.572598757	0.83017563	1
TRINITY_DN14016_c0_g2	SMP_1	SMP_2	-1.686285588	1.949896773	0.025638662	0.331134376
TRINITY_DN14016_c0_g5	SMP_1	SMP_2	-0.708350039	0.394755374	0.503000489	1
TRINITY_DN14016_c0_g6	SMP_1	SMP_2	-0.106203966	1.627092236	0.918601812	1
TRINITY_DN14016_c0_g7	SMP_1	SMP_2	-0.593105681	2.26283801	0.413081428	1
TRINITY_DN14016_c0_g8	SMP_1	SMP_2	-0.236643224	1.073965202	0.768941309	1
TRINITY_DN14016_c0_g9	SMP_1	SMP_2	-0.460735406	3.241093879	0.514060837	1
TRINITY_DN14017_c0_g1	SMP_1	SMP_2	0.000433899	6.771022138	1	1
TRINITY_DN14018_c0_g1	SMP_1	SMP_2	-0.208873004	5.434973617	0.753580291	1
