	sampleA	sampleB	logFC	logCPM	PValue	FDR
TRINITY_DN10116_c0_g1	SMP_1	SMP_2	-1.007479099	4.366599834	0.136330528	0.833469634
TRINITY_DN10117_c0_g1	SMP_1	SMP_2	-0.408612286	1.108533388	0.612350002	1
TRINITY_DN10117_c0_g2	SMP_1	SMP_2	-0.566095106	3.670360874	0.412246638	1
TRINITY_DN10117_c0_g3	SMP_1	SMP_2	1.007934757	1.51549547	0.205608605	0.967722389
TRINITY_DN10118_c0_g1	SMP_1	SMP_2	-0.805219157	5.671663614	0.226370448	0.995369741
TRINITY_DN10119_c0_g1	SMP_1	SMP_2	-0.150606142	3.36960802	0.833823719	1
TRINITY_DN10120_c0_g1	SMP_1	SMP_2	-1.480877301	6.663905307	0.027080657	0.343718284
TRINITY_DN10120_c1_g1	SMP_1	SMP_2	-0.788463253	8.974090233	0.230781735	1
TRINITY_DN10120_c1_g2	SMP_1	SMP_2	1.775658918	1.822120055	0.026673066	0.339644741
TRINITY_DN10121_c0_g1	SMP_1	SMP_2	-0.295215973	3.252058057	0.674312788	1
TRINITY_DN10122_c0_g1	SMP_1	SMP_2	-1.276927424	6.195135337	0.055943349	0.548372143
TRINITY_DN10122_c1_g1	SMP_1	SMP_2	-0.700930166	6.870124582	0.287851572	1
TRINITY_DN10123_c0_g1	SMP_1	SMP_2	-0.905640376	2.543187904	0.211538081	0.977364014
TRINITY_DN10124_c0_g1	SMP_1	SMP_2	0.341052404	4.944519718	0.611642683	1
TRINITY_DN10125_c0_g1	SMP_1	SMP_2	-0.346998207	4.370740163	0.606406917	1
TRINITY_DN10126_c0_g1	SMP_1	SMP_2	0.706609889	2.932442219	0.30994273	1
TRINITY_DN10127_c0_g1	SMP_1	SMP_2	-1.613405386	-0.151965526	0.14806642	0.852016367
TRINITY_DN10127_c1_g1	SMP_1	SMP_2	8.994302311	1.446710778	8.64E-08	1.34E-05
TRINITY_DN10127_c1_g2	SMP_1	SMP_2	2.710744369	1.630040472	0.001420168	0.03564667
TRINITY_DN10127_c1_g5	SMP_1	SMP_2	-2.792439831	3.278556829	0.00015224	0.006557737
TRINITY_DN10127_c1_g6	SMP_1	SMP_2	0.66328467	0.017063151	0.662736074	1
TRINITY_DN10127_c1_g7	SMP_1	SMP_2	2.873060795	0.865086768	0.002911675	0.062594288
TRINITY_DN10127_c2_g1	SMP_1	SMP_2	-0.25710475	0.877713094	0.802806557	1
TRINITY_DN10127_c3_g1	SMP_1	SMP_2	3.931237788	0.069292976	0.005837072	0.108609259
TRINITY_DN10128_c0_g1	SMP_1	SMP_2	0.681309818	5.925551262	0.303682473	1
TRINITY_DN10129_c0_g1	SMP_1	SMP_2	-1.155227351	7.634633412	0.081578144	0.672262214
TRINITY_DN10130_c0_g1	SMP_1	SMP_2	0.562891565	1.010743859	0.526982887	1
TRINITY_DN10131_c0_g1	SMP_1	SMP_2	-0.112099898	3.52836065	0.884773465	1
TRINITY_DN10132_c0_g1	SMP_1	SMP_2	0.594924709	2.817475283	0.406137088	1
TRINITY_DN10132_c0_g2	SMP_1	SMP_2	1.148382284	0.760522285	0.187313648	0.93556749
TRINITY_DN10133_c0_g2	SMP_1	SMP_2	-0.101632376	4.320269507	0.886013938	1
TRINITY_DN10134_c0_g1	SMP_1	SMP_2	-0.087311445	5.071656354	0.899897367	1
