	sampleA	sampleB
GO:0005721	1.0	0.0
GO:0005730	27.0	2.0
GO:0005732	1.0	0.0
GO:0005737	234.0	47.0
GO:0005739	34.0	4.0
GO:0005740	1.0	0.0
GO:0005741	3.0	0.0
GO:0005743	16.0	2.0
GO:0005744	1.0	0.0
GO:0005747	1.0	0.0
GO:0005749	2.0	0.0
GO:0005750	2.0	0.0
GO:0005751	1.0	0.0
GO:0005753	1.0	0.0
GO:0005754	1.0	0.0
GO:0005757	1.0	0.0
GO:0005758	4.0	1.0
GO:0005759	12.0	0.0
GO:0005762	3.0	0.0
GO:0005763	1.0	1.0
GO:0005764	11.0	2.0
GO:0005765	4.0	2.0
GO:0005768	11.0	4.0
GO:0005769	3.0	3.0
GO:0005770	3.0	1.0
GO:0005771	1.0	0.0
GO:0005773	15.0	2.0
GO:0005774	8.0	3.0
GO:0005775	1.0	0.0
GO:0005777	7.0	0.0
GO:0005782	2.0	0.0
GO:0005783	23.0	7.0
GO:0005788	0.0	1.0
GO:0005789	24.0	5.0
GO:0005791	2.0	0.0
GO:0005793	1.0	0.0
GO:0005794	15.0	9.0
GO:0005795	1.0	0.0
GO:0005796	1.0	0.0
GO:0005802	1.0	3.0
GO:0005811	2.0	0.0
GO:0005813	6.0	2.0
GO:0005814	1.0	1.0
GO:0005815	11.0	4.0
GO:0005819	1.0	1.0
GO:0005829	101.0	10.0
GO:0005832	3.0	0.0
GO:0005834	1.0	0.0
GO:0005839	1.0	0.0
GO:0005840	42.0	1.0
GO:0005844	1.0	0.0
GO:0005845	0.0	1.0
GO:0005851	2.0	0.0
GO:0005852	1.0	0.0
GO:0005856	28.0	1.0
GO:0005859	9.0	0.0
GO:0005861	1.0	0.0
GO:0005863	7.0	0.0
GO:0005865	1.0	0.0
GO:0005868	1.0	0.0
GO:0005874	5.0	2.0
GO:0005875	1.0	0.0
GO:0005876	0.0	2.0
GO:0005882	1.0	0.0
GO:0005884	1.0	0.0
GO:0005885	0.0	1.0
GO:0005886	106.0	25.0
GO:0005887	19.0	5.0
GO:0005890	1.0	0.0
GO:0005902	0.0	1.0
GO:0005903	2.0	0.0
GO:0005905	6.0	0.0
GO:0005911	16.0	3.0
GO:0005912	10.0	0.0
GO:0005913	2.0	0.0
GO:0005915	2.0	0.0
GO:0005918	2.0	0.0
GO:0005919	1.0	0.0
GO:0005921	1.0	1.0
GO:0005923	1.0	0.0
GO:0005924	8.0	0.0
GO:0005925	8.0	0.0
GO:0005927	3.0	0.0
GO:0005929	2.0	1.0
GO:0005938	2.0	1.0
GO:0005945	1.0	0.0
GO:0005960	2.0	0.0
GO:0005971	1.0	0.0
GO:0005975	58.0	10.0
GO:0005976	11.0	0.0
GO:0005977	4.0	0.0
GO:0005978	2.0	0.0
GO:0005980	2.0	0.0
GO:0005981	1.0	0.0
GO:0005984	3.0	1.0
GO:0005985	1.0	0.0
GO:0005986	1.0	0.0
GO:0005988	0.0	1.0
GO:0005990	0.0	1.0
GO:0005991	2.0	0.0
GO:0005992	2.0	0.0
GO:0005996	11.0	3.0
GO:0006000	1.0	0.0
GO:0006002	4.0	0.0
GO:0006003	1.0	0.0
GO:0006006	10.0	2.0
GO:0006011	4.0	0.0
